id,County_Code,District_Code,School_Code,Filler,Test_Year,Subgroup_ID,Test_Type,Total_CAASPP_Enrollment,Total_Tested_At_Entity_Level,Total_Tested_at_Subgroup_Level,Grade,Test_Id,CAASPP_Reported_Enrollment,Students_Tested,Mean_Scale_Score,Percentage_Standard_Exceeded,Percentage_Standard_Met,Percentage_Standard_Met_and_Above,Percentage_Standard_Nearly_Met,Percentage_Standard_Not_Met,Students_with_Scores,Area_1_Percentage_Above_Standard,Area_1_Percentage_At_or_Near_Standard,Area_1_Percentage_Below_Standard,Area_2_Percentage_Above_Standard,Area_2_Percentage_At_or_Near_Standard,Area_2_Percentage_Below_Standard,Area_3_Percentage_Above_Standard,Area_3_Percentage_At_or_Near_Standard,Area_3_Percentage_Below_Standard,Area_4_Percentage_Above_Standard,Area_4_Percentage_At_or_Near_Standard,Area_4_Percentage_Below_Standard,Total_Tested_with_Scores,Area_1_Percentage_Near_Standard,Area_2_Percentage_Near_Standard,Area_3_Percentage_Near_Standard,Area_4_Percentage_Near_Standard
sb_ca2019_all_csv_v4.txt,01,31617,0000000,NA,2019,1,B,NA,128,NA,5,1,17,16,2382.9,0.00,0.00,0.00,6.25,93.75,16,0.00,NA,68.75,0.00,NA,87.50,6.25,NA,50.00,0.00,NA,87.50,127,31.25,12.50,43.75,12.50
sb_ca2019_all_csv_v4.txt,01,61119,0000000,NA,2019,1,B,NA,4567,NA,5,1,721,703,2534.6,35.85,32.01,67.85,14.79,17.35,703,41.54,NA,17.07,34.99,NA,19.35,26.88,NA,14.51,39.97,NA,17.64,4566,41.39,45.66,58.61,42.39
sb_ca2019_all_csv_v4.txt,01,61192,0000000,NA,2019,1,B,NA,10410,NA,5,1,1654,1610,2470.8,11.68,27.39,39.07,20.99,39.94,1610,15.72,NA,38.04,18.06,NA,30.39,9.26,NA,29.77,18.27,NA,38.41,10403,46.24,51.56,60.97,43.32
sb_ca2019_all_csv_v4.txt,01,61200,0000000,NA,2019,1,B,NA,6996,NA,5,1,994,981,2531.2,32.52,31.70,64.22,17.23,18.55,981,37.51,NA,16.51,33.91,NA,18.18,26.12,NA,15.41,36.63,NA,18.37,6990,45.97,47.91,58.47,45.00
sb_ca2019_all_csv_v4.txt,01,61259,0000000,NA,2019,1,B,NA,17428,NA,5,1,3131,3030,2465.1,16.25,21.27,37.52,18.46,44.02,3028,20.61,NA,40.26,19.13,NA,38.73,12.62,NA,33.37,19.00,NA,42.19,17396,39.13,42.13,54.01,38.82
sb_ca2019_all_csv_v4.txt,01,61275,0000000,NA,2019,1,B,NA,1347,NA,5,1,190,188,2602.3,64.36,28.19,92.55,4.79,2.66,188,63.83,NA,2.66,52.66,NA,3.72,53.72,NA,2.13,66.49,NA,2.13,1347,33.51,43.62,44.15,31.38
sb_ca2019_all_csv_v4.txt,01,61291,0000000,NA,2019,1,B,NA,4505,NA,5,1,646,632,2472.7,13.45,27.22,40.66,21.04,38.29,632,17.72,NA,38.77,20.41,NA,31.65,9.97,NA,30.22,18.51,NA,36.87,4500,43.51,47.94,59.81,44.62
sb_ca2019_all_csv_v4.txt,01,75101,0000000,NA,2019,1,B,NA,7944,NA,5,1,1125,1098,2575.7,52.05,28.81,80.86,11.30,7.84,1097,57.34,NA,9.12,51.96,NA,9.21,39.47,NA,6.84,53.78,NA,8.39,7942,33.55,38.83,53.69,37.83
sb_ca2019_all_csv_v4.txt,04,61408,0000000,NA,2019,1,B,NA,294,NA,5,1,32,31,2467.8,6.45,29.03,35.48,25.81,38.71,31,6.45,NA,29.03,9.68,NA,29.03,6.45,NA,25.81,12.90,NA,38.71,294,64.52,61.29,67.74,48.39
sb_ca2019_all_csv_v4.txt,04,61424,0000000,NA,2019,1,B,NA,6232,NA,5,1,880,867,2508.1,24.34,30.91,55.25,17.19,27.57,867,29.56,NA,26.79,30.75,NA,23.93,19.08,NA,18.61,29.13,NA,28.67,6216,43.65,45.32,62.31,42.20
sb_ca2019_all_csv_v4.txt,04,61549,0000000,NA,2019,1,B,NA,980,NA,5,1,161,159,2474.7,14.56,26.58,41.14,22.15,36.71,158,21.52,NA,31.01,14.65,NA,38.22,10.76,NA,25.95,21.52,NA,34.18,979,47.47,47.13,63.29,44.30
sb_ca2019_all_csv_v4.txt,04,73379,0000000,NA,2019,1,B,NA,40,NA,5,1,8,7,*,*,*,*,*,*,7,*,NA,*,*,NA,*,*,NA,*,*,NA,*,40,*,*,*,*
sb_ca2019_all_csv_v4.txt,04,75507,0000000,NA,2019,1,B,NA,1063,NA,5,1,146,144,2488.8,16.67,28.47,45.14,20.14,34.72,144,20.14,NA,34.72,22.22,NA,25.00,16.67,NA,22.22,22.92,NA,35.42,1063,45.14,52.78,61.11,41.67
sb_ca2019_all_csv_v4.txt,06,61614,0000000,NA,2019,1,B,NA,785,NA,5,1,122,121,2473.9,11.57,27.27,38.84,25.62,35.54,121,14.88,NA,39.67,16.53,NA,28.10,11.57,NA,25.62,19.83,NA,38.84,785,45.45,55.37,62.81,41.32
sb_ca2019_all_csv_v4.txt,06,61622,0000000,NA,2019,1,B,NA,707,NA,5,1,108,107,2446.3,8.41,19.63,28.04,23.36,48.60,107,8.49,NA,49.06,14.15,NA,39.62,1.89,NA,38.68,13.21,NA,40.57,707,42.45,46.23,59.43,46.23
sb_ca2019_all_csv_v4.txt,07,10074,0000000,NA,2019,1,B,NA,71,NA,5,1,8,7,*,*,*,*,*,*,7,*,NA,*,*,NA,*,*,NA,*,*,NA,*,71,*,*,*,*
sb_ca2019_all_csv_v4.txt,07,61655,0000000,NA,2019,1,B,NA,6109,NA,5,1,975,958,2521.7,29.05,32.50,61.55,17.45,21.00,957,34.83,NA,19.77,30.37,NA,21.15,20.50,NA,14.33,34.41,NA,22.18,6106,45.40,48.48,65.17,43.41
sb_ca2019_all_csv_v4.txt,07,61747,0000000,NA,2019,1,B,NA,1251,NA,5,1,215,214,2581.1,55.61,29.44,85.05,9.35,5.61,214,57.48,NA,5.61,56.07,NA,4.67,38.79,NA,5.14,56.07,NA,7.94,1251,36.92,39.25,56.07,35.98
sb_ca2019_all_csv_v4.txt,07,61754,0000000,NA,2019,1,B,NA,16096,NA,5,1,2432,2367,2496.3,21.05,27.77,48.82,21.22,29.97,2366,27.01,NA,28.23,24.27,NA,29.51,16.48,NA,22.78,24.85,NA,30.35,16063,44.76,46.22,60.74,44.80
